,1,2,3,4,5,spread
2016-01-01 01:00:00,2.053998017592295,2.2454280683588816,0.5175434905107027,0.6067488513897121,0.2702152253014132,1.0599999999999987
2016-01-01 02:00:00,2.0461711428896825,2.262135565007009,0.5179259804162161,0.6433316782169684,0.28439130181615574,1.9499999999999993
2016-01-01 03:00:00,2.020258241457118,2.2747015339822965,0.5169015594399363,0.6924497867791812,0.30441346982648604,1.740000000000002
2016-01-01 04:00:00,2.005720930592027,2.2849765356787044,0.5164715422237742,0.7255646303378877,0.3175370158111378,2.2300000000000004
2016-01-01 05:00:00,2.0091765567373034,2.304703382914632,0.5177024056863686,0.7349851023916073,0.31890659242323494,0.35999999999999943
2016-01-01 06:00:00,2.0151979374564557,2.3277929081104634,0.519259153280716,0.7037883326978593,0.3023414712905645,1.3900000000000006
2016-01-01 07:00:00,2.0108853268875393,2.3368543855909696,0.5194214056732186,0.6906917401045157,0.29556473195904587,2.59
2016-01-01 08:00:00,1.9983618710008249,2.3445430355915566,0.5189596145807158,0.723451505384149,0.30856823457779414,0.019999999999999574
2016-01-01 09:00:00,1.9772670744300231,2.3245112486239257,0.5165431909766542,0.7352140699216032,0.31628759394338846,6.18
2016-01-01 10:00:00,1.9446339898521119,2.3310616484760116,0.5146085347480391,0.7139108412994979,0.30625995746025614,2.539999999999999
2016-01-01 11:00:00,1.9244512803501421,2.3347381392945104,0.513362255470512,0.6892335496159594,0.295208074094436,3.879999999999999
2016-01-01 12:00:00,1.9206733118218924,2.351921107256139,0.5139181682990658,0.678924115457393,0.2886678950934105,3.6400000000000006
2016-01-01 13:00:00,1.9276873076439602,2.3613463952782285,0.5148684893837892,0.6974292522827152,0.2953523691726473,0.5599999999999987
2016-01-01 14:00:00,1.9435306128855139,2.3709509341100845,0.5164491042274568,0.7121271092808357,0.3003550596664398,-0.48999999999999844
2016-01-01 15:00:00,1.9580545768406858,2.3842793084307705,0.5181011744783883,0.7038314357556332,0.2951967218215154,-0.8200000000000003
2016-01-01 16:00:00,1.9747938041172468,2.384563435754874,0.5192792936915394,0.7004186047111074,0.29373032992488957,-0.4499999999999993
2016-01-01 17:00:00,1.9954644707970182,2.409357491330576,0.5218703137762937,0.6818287723528489,0.28299194901803737,1.0600000000000023
2016-01-01 18:00:00,2.061027891708929,2.446762107668953,0.528011485719881,0.6592157455869274,0.26942371860375375,2.7399999999999984
2016-01-01 19:00:00,2.035552594693991,2.3715973228614153,0.5227599673928589,0.5883343369241718,0.2480751395917102,0.759999999999998
2016-01-01 20:00:00,1.9849535701017256,2.351063047536981,0.5183684832557987,0.5908803676576189,0.2513247648873715,4.219999999999999
2016-01-01 21:00:00,1.9609510382065238,2.3426179034570027,0.5163077088886281,0.5919646385228738,0.25269363716947235,3.1300000000000026
2016-01-01 22:00:00,1.9401452087191797,2.337344119174941,0.5145988196837085,0.6035289254785141,0.25821141205838094,2.240000000000002
2016-01-01 23:00:00,1.91581192342524,2.3297576959140396,0.5125048383223665,0.6089744094834196,0.2613895902356915,2.0700000000000003
2016-01-02 00:00:00,1.8905769417679181,2.325605521666824,0.5104815637450033,0.59365762350972,0.2552701298559997,1.7600000000000016
2016-01-02 01:00:00,1.8766687860988012,2.311085550776313,0.508761852951031,0.5909445032726279,0.2556999688194687,1.6699999999999982
2016-01-02 02:00:00,1.8686364658513246,2.3144991268035726,0.5083345277755824,0.5655209055490836,0.24433835338278717,0.46000000000000085
2016-01-02 03:00:00,1.8748975752298058,2.3349682131200145,0.5097791381021347,0.5294636847164728,0.22675412956007507,0.05000000000000071
2016-01-02 04:00:00,1.870819064424755,2.339177340851111,0.5096772532007253,0.5184199158260292,0.22162488784941883,0.3099999999999987
2016-01-02 05:00:00,1.8776714731658235,2.346835437695932,0.5105478556177242,0.517787848457758,0.22063236311367024,0.07000000000000028
2016-01-02 06:00:00,1.880772125288464,2.3598498918092083,0.5113906410267253,0.5313906610962638,0.22517985696491333,0.5199999999999996
2016-01-02 07:00:00,1.8971238758372004,2.3829377588168605,0.5136730048680742,0.5286382620156652,0.2218430842600507,0.5
2016-01-02 08:00:00,1.9120521992323827,2.380357683632339,0.5146407033452813,0.5032306656084877,0.21140968396000728,0.6999999999999993
2016-01-02 09:00:00,1.9094735487455623,2.3489010816427305,0.5129689963446671,0.5200818173708632,0.22141495077652998,1.5500000000000007
2016-01-02 10:00:00,1.875462523197241,2.334991448803017,0.5098220021289147,0.49942930456420903,0.21388913643355342,2.950000000000003
2016-01-02 11:00:00,1.875683697972252,2.317200470183347,0.5089850707096357,0.4878618775826759,0.21053934860632673,3.9299999999999997
2016-01-02 12:00:00,1.8846103837998522,2.31257484448726,0.5094160228403282,0.4966440550879692,0.21475804611118834,3.719999999999999
2016-01-02 13:00:00,1.9062159231400777,2.309666519587778,0.5108393784352568,0.5255865103089209,0.22755947919387332,2.6000000000000014
2016-01-02 14:00:00,1.9262094122493274,2.2992052384253525,0.5117478757550182,0.5560485680002546,0.24184381572698282,2.3999999999999986
2016-01-02 15:00:00,1.937492136458084,2.3019803365783407,0.5126786183565092,0.5567390729083442,0.24185222786736754,2.120000000000001
2016-01-02 16:00:00,1.9374041265247413,2.3086984496043748,0.513004916316472,0.5551396339947803,0.2404556706355092,2.789999999999999
2016-01-02 17:00:00,1.9598059827953571,2.330611260289423,0.515642910463191,0.5770413284285574,0.24759226828626,2.830000000000002
2016-01-02 18:00:00,2.0444985480038724,2.3786622834368645,0.5236913096323016,0.5991448234267003,0.25188309731846936,3.0199999999999996
